CABERGOLINE	DIHYDROERGOTAMINE	01/01/2013	31/12/2013	3
CABERGOLINE	METHYLERGOMETRINE	01/01/2013	31/12/2013	0
CABERGOLINE	ERGOTAMINE	01/01/2013	31/12/2013	0
CABERGOLINE	METHYSERGIDE	01/01/2013	31/12/2013	0
BROMOCRIPTINE	DIHYDROERGOTAMINE	01/01/2013	31/12/2013	1
BROMOCRIPTINE	METHYLERGOMETRINE	01/01/2013	31/12/2013	1
BROMOCRIPTINE	ERGOTAMINE	01/01/2013	31/12/2013	0
BROMOCRIPTINE	METHYSERGIDE	01/01/2013	31/12/2013	0
DIHYDROERGOTAMINE	LISURIDE	01/01/2013	31/12/2013	0
LISURIDE	METHYLERGOMETRINE	01/01/2013	31/12/2013	0
ERGOTAMINE	LISURIDE	01/01/2013	31/12/2013	0
LISURIDE	METHYSERGIDE	01/01/2013	31/12/2013	0
GENTAMICINE	NETILMICINE	01/01/2013	31/12/2013	3
GENTAMICINE	TOBRAMYCINE	01/01/2013	31/12/2013	4
NETILMICINE	TOBRAMYCINE	01/01/2013	31/12/2013	0
AMPHOTERICINE B	NETILMICINE	01/01/2013	31/12/2013	2
AMPHOTERICINE B	GENTAMICINE	01/01/2013	31/12/2013	4
AMPHOTERICINE B	TOBRAMYCINE	01/01/2013	31/12/2013	1
ACIDE ACETYLSALICYLIQUE	ANAGRELIDE	01/01/2013	31/12/2013	128
HYDROMORPHONE	OXYCODONE	01/01/2013	31/12/2013	15
OXYCODONE	TRAMADOL	01/01/2013	31/12/2013	105
OXYCODONE	PETHIDINE	01/01/2013	31/12/2013	0
CODEINE	OXYCODONE	01/01/2013	31/12/2013	88
MORPHINE	OXYCODONE	01/01/2013	31/12/2013	103
DIHYDROCODEINE	OXYCODONE	01/01/2013	31/12/2013	0
FENTANYL	OXYCODONE	01/01/2013	31/12/2013	586
OXYCODONE	SUFENTANIL	01/01/2013	31/12/2013	0
HYDROMORPHONE	TRAMADOL	01/01/2013	31/12/2013	5
PETHIDINE	TRAMADOL	01/01/2013	31/12/2013	0
CODEINE	TRAMADOL	01/01/2013	31/12/2013	2985
MORPHINE	TRAMADOL	01/01/2013	31/12/2013	208
DIHYDROCODEINE	TRAMADOL	01/01/2013	31/12/2013	41
FENTANYL	TRAMADOL	01/01/2013	31/12/2013	254
SUFENTANIL	TRAMADOL	01/01/2013	31/12/2013	0
HYDROMORPHONE	PETHIDINE	01/01/2013	31/12/2013	0
CODEINE	PETHIDINE	01/01/2013	31/12/2013	0
MORPHINE	PETHIDINE	01/01/2013	31/12/2013	0
DIHYDROCODEINE	PETHIDINE	01/01/2013	31/12/2013	0
FENTANYL	PETHIDINE	01/01/2013	31/12/2013	0
PETHIDINE	SUFENTANIL	01/01/2013	31/12/2013	0
CODEINE	HYDROMORPHONE	01/01/2013	31/12/2013	4
HYDROMORPHONE	MORPHINE	01/01/2013	31/12/2013	28
DIHYDROCODEINE	HYDROMORPHONE	01/01/2013	31/12/2013	0
FENTANYL	HYDROMORPHONE	01/01/2013	31/12/2013	19
HYDROMORPHONE	SUFENTANIL	01/01/2013	31/12/2013	0
CODEINE	SUFENTANIL	01/01/2013	31/12/2013	0
MORPHINE	SUFENTANIL	01/01/2013	31/12/2013	0
DIHYDROCODEINE	SUFENTANIL	01/01/2013	31/12/2013	0
FENTANYL	SUFENTANIL	01/01/2013	31/12/2013	0
CODEINE	FENTANYL	01/01/2013	31/12/2013	169
