CABERGOLINE	DIHYDROERGOTAMINE	01/01/2013	31/12/2013
CABERGOLINE	METHYLERGOMETRINE	01/01/2013	31/12/2013
CABERGOLINE	ERGOTAMINE	01/01/2013	31/12/2013
CABERGOLINE	METHYSERGIDE	01/01/2013	31/12/2013
BROMOCRIPTINE	DIHYDROERGOTAMINE	01/01/2013	31/12/2013
BROMOCRIPTINE	METHYLERGOMETRINE	01/01/2013	31/12/2013
BROMOCRIPTINE	ERGOTAMINE	01/01/2013	31/12/2013
BROMOCRIPTINE	METHYSERGIDE	01/01/2013	31/12/2013
DIHYDROERGOTAMINE	LISURIDE	01/01/2013	31/12/2013
LISURIDE	METHYLERGOMETRINE	01/01/2013	31/12/2013
ERGOTAMINE	LISURIDE	01/01/2013	31/12/2013
LISURIDE	METHYSERGIDE	01/01/2013	31/12/2013
GENTAMICINE	NETILMICINE	01/01/2013	31/12/2013
GENTAMICINE	TOBRAMYCINE	01/01/2013	31/12/2013
NETILMICINE	TOBRAMYCINE	01/01/2013	31/12/2013
AMPHOTERICINE B	NETILMICINE	01/01/2013	31/12/2013
AMPHOTERICINE B	GENTAMICINE	01/01/2013	31/12/2013
AMPHOTERICINE B	TOBRAMYCINE	01/01/2013	31/12/2013
ACIDE ACETYLSALICYLIQUE	ANAGRELIDE	01/01/2013	31/12/2013
HYDROMORPHONE	OXYCODONE	01/01/2013	31/12/2013
OXYCODONE	TRAMADOL	01/01/2013	31/12/2013
OXYCODONE	PETHIDINE	01/01/2013	31/12/2013
CODEINE	OXYCODONE	01/01/2013	31/12/2013
MORPHINE	OXYCODONE	01/01/2013	31/12/2013
DIHYDROCODEINE	OXYCODONE	01/01/2013	31/12/2013
FENTANYL	OXYCODONE	01/01/2013	31/12/2013
OXYCODONE	SUFENTANIL	01/01/2013	31/12/2013
HYDROMORPHONE	TRAMADOL	01/01/2013	31/12/2013
PETHIDINE	TRAMADOL	01/01/2013	31/12/2013
CODEINE	TRAMADOL	01/01/2013	31/12/2013
MORPHINE	TRAMADOL	01/01/2013	31/12/2013
DIHYDROCODEINE	TRAMADOL	01/01/2013	31/12/2013
FENTANYL	TRAMADOL	01/01/2013	31/12/2013
SUFENTANIL	TRAMADOL	01/01/2013	31/12/2013
HYDROMORPHONE	PETHIDINE	01/01/2013	31/12/2013
CODEINE	PETHIDINE	01/01/2013	31/12/2013
MORPHINE	PETHIDINE	01/01/2013	31/12/2013
DIHYDROCODEINE	PETHIDINE	01/01/2013	31/12/2013
FENTANYL	PETHIDINE	01/01/2013	31/12/2013
PETHIDINE	SUFENTANIL	01/01/2013	31/12/2013
CODEINE	HYDROMORPHONE	01/01/2013	31/12/2013
HYDROMORPHONE	MORPHINE	01/01/2013	31/12/2013
DIHYDROCODEINE	HYDROMORPHONE	01/01/2013	31/12/2013
FENTANYL	HYDROMORPHONE	01/01/2013	31/12/2013
HYDROMORPHONE	SUFENTANIL	01/01/2013	31/12/2013
CODEINE	SUFENTANIL	01/01/2013	31/12/2013
MORPHINE	SUFENTANIL	01/01/2013	31/12/2013
DIHYDROCODEINE	SUFENTANIL	01/01/2013	31/12/2013
FENTANYL	SUFENTANIL	01/01/2013	31/12/2013
CODEINE	FENTANYL	01/01/2013	31/12/2013
FENTANYL	MORPHINE	01/01/2013	31/12/2013
DIHYDROCODEINE	FENTANYL	01/01/2013	31/12/2013
CODEINE	DIHYDROCODEINE	01/01/2013	31/12/2013
DIHYDROCODEINE	MORPHINE	01/01/2013	31/12/2013
CODEINE	MORPHINE	01/01/2013	31/12/2013
ACIDE ACETYLSALICYLIQUE	LOSARTAN	01/01/2013	31/12/2013
ACIDE ACETYLSALICYLIQUE	IRBESARTAN	01/01/2013	31/12/2013
ACIDE ACETYLSALICYLIQUE	EPROSARTAN	01/01/2013	31/12/2013
ACIDE ACETYLSALICYLIQUE	VALSARTAN	01/01/2013	31/12/2013
ACIDE ACETYLSALICYLIQUE	OLMESARTAN	01/01/2013	31/12/2013
ACIDE ACETYLSALICYLIQUE	TELMISARTAN	01/01/2013	31/12/2013
